Title,SKU,Supplier SKU,Retail Price (GBP),True Cost incl. 20% VAT (GBP),Margin (GBP),Margin (%)
"Java Natural Rattan Round Chair | Kaiku","","5528641","99.00","106.12","-7.12","-7.2"
"Ulmus Grey Elm Wood 4 Tier Bookshelf | Kaiku","","5501271","729.00","755.02","-26.02","-3.6"
"Riza Arched Antique Wall Mirror | Kaiku","","5503246","346.00","355.68","-9.68","-2.8"
"Lyon Whitewash Dining Table | Kaiku","","5501654","1089.00","1116.88","-27.88","-2.6"
"Lyon Grey Finish Oak Wood Dining Table | Kaiku","","5501638","989.00","999.68","-10.68","-1.1"
"Grenoble Brushed Brass Multi Tier Shelving Unit | Kaiku","","5528622","989.00","999.11","-10.11","-1.0"
"Java Black Rattan Peacock Accent Chair | Kaiku","","5528640","109.00","110.02","-1.02","-0.9"
"Lustra Small Nickel Painted Chandelier | Kaiku","","5511263","644.00","640.86","3.14","0.5"
"Relic Petrified Wood Tile Small Round Mirror | Kaiku","","5503368","198.00","195.48","2.52","1.3"
"Vermont White Wash Round Dining Table with 4 Chairs Set | Kaiku","","2404029","598.00","589.28","8.72","1.5"
"Equipoise Black and Brass Finish Floor Lamp with Marble Base | Kaiku","","5511758","199.00","196.08","2.92","1.5"
"Ulmus Black Elm Wood Sideboard | Kaiku","","5527875","1621.00","1585.45","35.55","2.2"
"Riza 3D Hexagonal Wall Mirror | Kaiku","","5503210","309.00","301.34","7.66","2.5"
"Ruta Wall Mirror | Kaiku","","5503133","209.00","202.67","6.33","3.0"
"Goa Natural Rattan Effect Chair | Kaiku","","2450044","299.00","288.95","10.05","3.4"
"Darnell Large Black Finish Planter | Kaiku","","5505796","109.00","105.12","3.88","3.6"
"Kensington Townhouse Grey Wash and Antique Black Media Unit | Kaiku","","5501127","990.00","952.70","37.30","3.8"
"Kyra Grey Wash Elm Wood Wardrobe | Kaiku","","5502407","1167.00","1121.29","45.71","3.9"
"Silva Large Oak Effect Silver Wall Mirror | Kaiku","","5503991","279.00","268.08","10.92","3.9"
"Atkins Nickel Finish Floor Lamp with White Shade | Kaiku","","5511753","199.00","190.80","8.20","4.1"
"Ulmus Black Elm Wood Console Table | Kaiku","","5527877","798.00","765.53","32.47","4.1"
"Lyon Rattan and Oak Wood 4 Door Sideboard | Kaiku","","5528695","1019.00","977.46","41.54","4.1"
"Dimaro Antique Grey Wall Mirror | Kaiku","","5504052","244.00","233.76","10.24","4.2"
"Goa Black Rattan Effect Double Hanging Chair | Kaiku","","2450045","487.00","464.62","22.38","4.6"
"Helia 3 Seat Olive Velvet Sofa | Kaiku","","2405938","968.00","922.61","45.39","4.7"
"Helia 3 Seat Blue Velvet Sofa | Kaiku","","2405939","968.00","922.61","45.39","4.7"
"Chiswick Oak Wood Side Table | Kaiku","","5501146","364.00","347.04","16.96","4.7"
"Jacen Silver Metal Frame Round Wall Mirror | Kaiku","","5503046","149.00","142.07","6.93","4.7"
"Jensen Rectangular Silver Wall Mirror | Kaiku","","5504031","199.00","189.47","9.53","4.8"
"Lovina Wood And Natural Rattan Lounge Chair | Kaiku","","5502851","359.00","341.03","17.97","5.0"
"Avelino Silver Frame Wall Mirror | Kaiku","","5503354","199.00","188.88","10.12","5.1"
"Josie Silver Round Wall Mirror | Kaiku","","5504037","214.00","202.67","11.33","5.3"
"Abira White Marble and Brass Finish 5 Bulb Floor Lamp | Kaiku","","5511722","328.00","310.14","17.86","5.4"
"Abira Brass Finish Three Bulb Floor Lamp | Kaiku","","5511633","293.00","276.88","16.12","5.5"
"Hubert Satin Nickel Finish Metal Floor Lamp | Kaiku","","5511738","269.00","254.16","14.84","5.5"
"Hampstead White and Oak Wood Coffee Table with Drawers | Kaiku","","5501114","448.00","422.74","25.26","5.6"
"Abira Black Marble and Nickel Finish 5 Bulb Floor Lamp | Kaiku","","5511723","329.00","310.14","18.86","5.7"
"Kensington Townhouse Rectangular Mirror | Kaiku","","5503277","369.00","347.76","21.24","5.8"
"Abira Black Finish 16 Arm Statement Pendant Light | Kaiku","","5511640","689.00","648.78","40.22","5.8"
"Yaxi Wall Clock | Kaiku","","2201054","109.00","102.48","6.52","6.0"
"Alexis 8 Light Nickel Finish Statement Pendant Light | Kaiku","","5511483","398.00","373.97","24.03","6.0"
"Kensington Townhouse Grey Wash and Antique Black Sideboard | Kaiku","","5501128","1322.00","1235.65","86.35","6.5"
"Ulmus Black Elm Wood Dining Table | Kaiku","","5527873","1100.00","1027.46","72.54","6.6"
"Carta Black and White Polka Dot Papier Mache Table Lamp | Kaiku","","5511871","109.00","101.62","7.38","6.8"
"Avelino Illuminated LED Gold Oval Mirror | Kaiku","","5503357","240.00","223.52","16.48","6.9"
"Hutchinson Clear Crystal Floor Lamp with Gold Metal | Kaiku","","5511736","239.00","222.48","16.52","6.9"
"Moda Black Faux Marble Rectangular Dining Table | Kaiku","","5528432","1109.00","1032.01","76.99","6.9"
"Opus 3 Seat Rope Woven Sofa with Grey Cushions | Kaiku","","5502314","689.00","640.73","48.27","7.0"
"Salasco Black Finish 3 Tiered Glass Chandelier | Kaiku","","5511427","440.00","409.01","30.99","7.0"
"Almora Acacia Wood Wall Mirror | Kaiku","","5503300","387.00","359.30","27.70","7.2"
"Sanai White Cotton Mache Large Planter | Kaiku","","5506889","139.00","128.88","10.12","7.3"
"Imperia Ceramic Marble Effect Round Dining Table | Kaiku","","5528865","499.00","461.93","37.07","7.4"
"Venice Nickel Plated Tapered Chandelier | Kaiku","","5511254","347.00","320.64","26.36","7.6"
"Abira Bronze Finish 7 Light Statement Pendant Light | Kaiku","","5511368","243.00","224.52","18.48","7.6"
"Hampstead White Media Unit with Oak Wood Top | Kaiku","","5501113","549.00","506.47","42.53","7.7"
"Parkside Oak Wood Round Dining Table | Kaiku","","5528698","859.00","791.62","67.38","7.8"
"Babylon Large 8 Light Pendant Light | Kaiku","","5511661","789.00","726.53","62.47","7.9"
"Ulmus Black Elm Wood Coffee Table | Kaiku","","5527876","749.00","688.54","60.46","8.1"
"Darnell Small Black Geometric Planter with Legs | Kaiku","","5505782","84.00","77.15","6.85","8.2"
"Loire White Super Kingsize Bed | Kaiku","","5502122","1080.00","989.87","90.13","8.3"
"Deskey Grey Shagreen Effect Media Unit | Kaiku","","5527815","1260.00","1152.49","107.51","8.5"
"Salvar Natural Oak and Elm Wood Chest of 5 Drawers | Kaiku","","5502838","869.00","794.51","74.49","8.6"
"Hubert Nickel Finish Arc Floor Lamp | Kaiku","","5511388","249.00","227.03","21.97","8.8"
"Grenoble Oak Veneer 2 Drawer Desk | Kaiku","","5528621","620.00","564.83","55.17","8.9"
"Loire White Kingsize Bed | Kaiku","","5502121","987.00","898.52","88.48","9.0"
"Lena Oak Veneer Coffee Table with Brushed Gold Legs | Kaiku","","5527919","469.00","426.83","42.17","9.0"
"Jakara Black Finish Carved Media Unit | Kaiku","","5528072","996.00","906.71","89.29","9.0"
"Jakara Natural Finish Carved Media Unit | Kaiku","","5528071","998.00","906.71","91.29","9.1"
"Goa Black Rattan Effect Double Hanging Chair With Grey Cushions | Kaiku","","2450049","489.00","444.18","44.82","9.2"
"Naro Mango Wood And Gold Finishing Coffee Table | Kaiku","","5528941","409.00","371.18","37.82","9.2"
"Riva Wall Mirror | Kaiku","","5503138","209.00","189.47","19.53","9.3"
"Opus Linen Fabric and Woven Rope 3 Seat Sofa | Kaiku","","5528549","819.24","743.09","76.15","9.3"
"Karli 3 Tier Glass Statement Pendant Light | Kaiku","","5511582","789.00","715.10","73.90","9.4"
"Parkside Dark Oak Wood Round Dining Table | Kaiku","","5528699","893.00","808.21","84.79","9.5"
"Lena Oak Veneer Round Side Table with Brushed Gold Legs | Kaiku","","5527920","400.00","360.77","39.23","9.8"
"Hatton Grey Velvet Sofa Bed | Kaiku","","2405836","599.00","539.89","59.11","9.9"
"Murdoch Brushed Brass Floor Lamp with Black Marble Base | Kaiku","","5511751","229.00","205.86","23.14","10.1"
"Luxor Grey Wash Recycled Pine Wood 4 Door Sideboard | Kaiku","","5527934","1395.00","1254.00","141.00","10.1"
"Hazel Natural Oak Wood and Grey Fur Dining Chair | Kaiku","","5527150","399.00","357.60","41.40","10.4"
"Rania 3 Seat Black Dimity Fabric Sofa | Kaiku","","5501486","1019.00","911.72","107.28","10.5"
"Luxor Grey Wash Recycled Pine Wood Console Table with Drawers | Kaiku","","5527935","588.00","526.33","61.67","10.5"
"Leonov Medium Gold Finish Wall Mirror | Kaiku","","5503985","219.00","195.48","23.52","10.7"
"Sabrina Three Seat Grey Velvet Sofa | Kaiku","","5528776","1170.00","1044.95","125.05","10.7"
"Weston Marble Effect Dining Table with 6 Chairs Set | Kaiku","","2405942","778.00","693.86","84.14","10.8"
"Astratto Natural Textured Canvas Wall Art | Kaiku","","5521147","109.00","97.20","11.80","10.8"
"Lena Oak Veneer Rectangular Side Table with Brushed Gold Legs | Kaiku","","5527921","389.00","347.04","41.96","10.8"
"Westford Rectangle Dining Table with 6 Chairs Set | Kaiku","","2405944","772.00","686.93","85.07","11.0"
"Westford Dining Table with 6 Chairs Set | Kaiku","","2405945","772.00","686.93","85.07","11.0"
"Trieste Champagne Glass Floor Lamp | Kaiku","","5511616","211.00","187.85","23.15","11.0"
"Opus Grey Woven Rope Three Seater Sofa with Cushions | Kaiku","","5528547","770.00","684.42","85.58","11.1"
"Trento Double Ring Design Wall Mirror | Kaiku","","5503272","189.00","167.88","21.12","11.2"
"Siena Three Seat Midnight Velvet Sofa | Kaiku","","5528781","1190.00","1054.61","135.39","11.4"
"Weston Round Marble Effect Dining Table with 6 Chairs Set | Kaiku","","2405941","761.00","673.73","87.27","11.5"
"Abira Gold Finish Adjustable 8 Arm Statement Pendant Light | Kaiku","","5511371","264.00","233.63","30.37","11.5"
"Macey Large Faceted Floor Lamp | Kaiku","","5511320","289.00","255.42","33.58","11.6"
"Loire Plant Stand | Kaiku","","5502153","223.00","196.67","26.33","11.8"
"Darnell White And Black Small Planter | Kaiku","","5505797","53.00","46.73","6.27","11.8"
"Carta Black and White Stripe Papier Mache Domed Floor Lamp | Kaiku","","5511869","298.00","262.24","35.76","12.0"
"Kerala Natural Recycled Wood Dining Table With Cross Base | Kaiku","","5527850","1499.00","1319.14","179.86","12.0"
"Manado Natural Rattan Sofa with Cushions | Kaiku","","5528626","520.00","457.32","62.68","12.1"
"Opus Rope Woven Longue Bench with Cushions | Kaiku","","5528550","744.00","653.33","90.67","12.2"
"Babylon Six Bulb Black Crystal Chandelier | Kaiku","","5511667","370.00","324.59","45.41","12.3"
"Goa Natural Rattan Effect Hanging Chair | Kaiku","","2450046","369.00","323.27","45.73","12.4"
"Naro Mango Wood and Gold Finish Console Table | Kaiku","","5528940","369.00","323.27","45.73","12.4"
"Vitus Black and Gold Metal Wall Clock | Kaiku","","2200970","72.84","63.41","9.43","12.9"
"Boho Patterned Mango Wood 2 Door Sideboard with Drawers | Kaiku","","5502641","963.00","838.36","124.64","12.9"
"Trento Small Square Black Metal Frame Round Insert Wall Mirror | Kaiku","","5503394","109.00","94.96","14.04","12.9"
