rank,cashProfit,listAt,sitePrice,stock,photos,ebayTitle,titleChars,needsWork,sku,siteSlug,sourceTitle
1,260.67,1303,1378,17,5,"Sorelle Two Seater Sofa with Cushions 97x197cm",46,,24370,sorelle-two-seater-sofa-with-cushions,"Sorelle Two Seater Sofa with Cushions"
2,180.59,900,950,40,4,"Metal Large Black Multi Shelf Unit 40x100cm",43,YES — too little stored detail, finish by hand,22714,large-black-multi-shelf-unit,"Large Black Multi Shelf Unit"
3,133.64,666,713,4,5,"Brown Wood Delphine Sliding Glass Dresser Top 38x126cm",54,,24658,delphine-collection-sliding-glass-dresser-top,"Delphine Collection Sliding Glass Dresser Top"
4,107.72,538,570,5,5,"Vellis Blue Wingback Armchair 84x76cm",37,YES — too little stored detail, finish by hand,24373,vellis-blue-wingback-armchair,"Vellis Blue Wingback Armchair"
5,101.99,508,570,12,5,"Grey Fabric Avia Mist Armchair 97x86cm",38,YES — too little stored detail, finish by hand,24489,avia-mist-armchair,"Avia Mist Armchair"
6,90.41,451,720,-,5,"Pershore Rectangular Aged Oak Coffee Table 110x80cm",51,,KK-CT-PER-OAK-001,pershore-rectangular-aged-oak-coffee-table,"Pershore Rectangular Aged Oak Coffee Table"
7,82.55,412,428,31,5,"Black Wood Contour 2 Drawer 2 Door Sideboard 35x80cm",52,,24332,contour-collection-2-drawer-2-door-sideboard,"Contour Collection 2 Drawer 2 Door Sideboard"
8,82.55,412,428,16,5,"Serene Rattan Coffee Table 60x120cm",35,YES — too little stored detail, finish by hand,23900,serene-rattan-coffee-table,"Serene Rattan Coffee Table"
9,79.43,396,418,1,5,"Capri Outdoor Foot Stool 56x81cm",32,YES — too little stored detail, finish by hand,22954,capri-collection-outdoor-foot-stool,"Capri Collection Outdoor Foot Stool"
10,77.84,386,399,17,4,"Neutral Metal Provence Outdoor Bistro Table 70x70cm",51,,24515,provence-collection-outdoor-bistro-table,"Provence Collection Outdoor Bistro Table"
11,76.07,380,390,33,5,"Zephra White Armchair 67x79cm",29,YES — too little stored detail, finish by hand,24367,zephra-white-armchair,"Zephra White Armchair"
12,75.4,375,390,1,5,"Neutral Metal Amalfi Outdoor Bistro Table With Wood Top 70x70cm",63,,23905,amalfi-collection-outdoor-bistro-table-with-wood-top,"Amalfi Collection Outdoor Bistro Table With Wood Top"
13,72.03,359,361,13,5,"Neutral Fabric Capri Outdoor Dining Chair",41,YES — too little stored detail, finish by hand,22951,capri-collection-outdoor-dining-chair,"Capri Collection Outdoor Dining Chair"
14,71.9,358,380,-,2,"Saltaire 3-Shelf Unit 45x153cm",30,YES — too little stored detail, finish by hand,24542,saltaire-collection-3-shelf-unit,"Saltaire Collection 3-Shelf Unit"
15,66.47,332,352,53,4,"Provence Outdoor Dining Chair 94x62cm",37,YES — too little stored detail, finish by hand,23904,provence-collection-outdoor-dining-chair,"Provence Collection Outdoor Dining Chair"
16,64.88,322,333,5,5,"Solara Orb Pendant Ceiling Light 42x42cm",40,YES — too little stored detail, finish by hand,24456,solara-orb-pendant-ceiling-light,"Solara Orb Pendant Ceiling Light"
17,59.07,295,304,19,5,"Rutland Side Table 60x60cm",26,YES — too little stored detail, finish by hand,23983,rutland-side-table,"Rutland Side Table"
18,55.96,279,295,1,4,"Metal Large Circular Silver Wall Hanging Multi Shelf 22x92cm",60,,18772,large-circular-silver-wall-hanging-multi-shelf,"Large Circular Silver Wall Hanging Multi Shelf"
19,55.96,279,295,15,5,"Serene Three Drawer Bedside Table 43x48cm",41,YES — too little stored detail, finish by hand,23895,serene-three-drawer-bedside-table,"Serene Three Drawer Bedside Table"
20,51,253,257,23,5,"Brown Wood Haldon Large 1 Drawer Lamp Table 40x40cm",51,,24912,haldon-collection-large-1-drawer-lamp-table,"Haldon Collection Large 1 Drawer Lamp Table"
21,49.48,247,257,10,2,"Ceramic Large Hammered Silver Astral Vase 40x40cm",49,,21717,large-hammered-silver-astral-vase,"Large Hammered Silver Astral Vase"
22,45.44,226,238,60,5,"Serene One Drawer Side Table 43x48cm",36,YES — too little stored detail, finish by hand,23894,serene-one-drawer-side-table,"Serene One Drawer Side Table"
23,37.37,184,186,74,3,"Grey Set Of Three Wooden Lanterns With Traditional Cross Section 31x31cm",72,,17459,set-of-three-wooden-lanterns-with-traditional-cross-section,"Set Of Three Wooden Lanterns With Traditional Cross Section"
24,37.37,184,186,117,5,"Camden One Drawer Side Table 38x50cm",36,YES — too little stored detail, finish by hand,23953,camden-one-drawer-side-table,"Camden One Drawer Side Table"
25,34.92,173,176,49,4,"Ceramic Hammered Silver Astral Vase 39x39cm",43,YES — too little stored detail, finish by hand,21718,hammered-silver-astral-vase,"Hammered Silver Astral Vase"
26,30.89,152,152,2,4,"Black Wood Contour Pet Feeder Table 28x60cm",43,YES — too little stored detail, finish by hand,24336,contour-collection-pet-feeder-table,"Contour Collection Pet Feeder Table"
27,30.89,152,152,29,5,"Camden Half Moon 3 Tier Table 33x71cm",37,YES — too little stored detail, finish by hand,23951,camden-half-moon-3-tier-table,"Camden Half Moon 3 Tier Table"
